pair_id,sample_weight,agreement_count,pred_vote
23442471#4395083,1.0,3,0
57698050#86039608,1.0,3,0
50968746#43618988,1.0,3,1
72636167#74932360,1.0,3,0
51215765#22550534,1.0,3,0
7650784#55596658,1.0,3,0
75908352#45065236,1.0,3,0
31420716#13640797,1.0,3,0
10816#22096223,1.0,3,0
71622657#94373108,1.0,3,0
10997532#38058369,1.0,3,0
79139250#13893314,1.0,3,1
57914917#10218816,1.0,3,1
79295#56493397,1.0,3,1
23165688#86774262,1.0,3,0
82049746#39448463,1.0,3,0
77641222#34146043,1.0,3,0
63436905#2237025,1.0,3,0
74898883#37728852,1.0,3,0
71458103#7650784,1.0,3,0
35076842#13198672,1.0,3,0
17092441#97360314,1.0,3,0
36195674#12424092,1.0,3,0
94193655#90146840,1.0,3,0
87168706#84081996,1.0,3,0
18688923#10218816,1.0,3,0
888946#9187011,1.0,3,0
39376372#74646862,1.0,3,0
18178431#63634340,1.0,3,0
87240955#69499657,1.0,3,0
59217936#92598888,1.0,3,0
82274481#88160368,1.0,3,1
24607772#77554678,1.0,3,0
19669552#22096223,1.0,3,0
50403133#18750700,1.0,3,0
73197482#31186504,1.0,3,0
53540754#88331613,1.0,3,0
18762312#16938908,1.0,3,0
60950692#79295,1.0,3,0
71884441#35317298,1.0,3,1
85675854#18762312,1.0,3,1
43671477#97281594,1.0,3,0
13986277#49146483,1.0,3,0
288189#59874069,1.0,3,0
13704452#20822871,1.0,3,0
12409643#40976538,1.0,3,0
80185739#13205686,1.0,3,0
28958152#87765870,1.0,3,0
13621719#67388462,1.0,3,0
808263#22017852,1.0,3,0
16768503#8865735,1.0,3,0
64438918#20281251,1.0,3,1
20550546#59825579,1.0,3,1
77554678#905514,1.0,3,0
98773883#80747993,1.0,3,0
1907#39094258,1.0,3,0
59217936#95788693,1.0,3,0
19610472#95301262,1.0,3,0
13853990#98035591,1.0,3,0
19338654#48798939,1.0,3,0
93222484#50973979,1.0,3,0
14576013#14475568,1.0,3,0
80185739#84347869,1.0,3,0
2254995#52787773,1.0,3,0
93035933#39448463,1.0,3,0
31149883#36026562,1.0,3,0
26298839#23345904,1.0,3,0
64304057#35485275,1.0,3,0
76645893#9225217,1.0,3,0
38374739#66097781,1.0,3,0
12577609#46963156,1.0,3,0
2724789#19140046,1.0,3,0
24721936#9932421,1.0,3,0
13613251#17058930,1.0,3,0
76478929#95301262,1.0,3,0
70998961#93222484,1.0,3,0
58262024#84347869,1.0,3,0
27915727#35149551,1.0,3,0
10330385#12577609,1.0,3,0
71906516#38525199,1.0,3,0
81004909#95170662,1.0,3,0
55993507#83052078,1.0,3,0
26714094#20668617,1.0,3,0
22110995#79295,1.0,3,0
4395083#59217936,1.0,3,0
19210924#63117104,1.0,3,0
81254738#6976859,1.0,3,0
42244827#91607349,1.0,3,0
95241878#7004489,1.0,3,0
11297103#97281594,1.0,3,0
31420716#82614828,1.0,3,0
19653009#44917290,1.0,3,0
83052078#18178431,1.0,3,0
73018266#2563741,1.0,3,0
34088263#57869707,1.0,3,0
41270447#54285160,1.0,3,0
51914482#81738033,1.0,3,0
29226990#13613251,1.0,3,1
56291879#59887473,1.0,3,0
17738556#74898883,1.0,3,0
17216616#63800622,1.0,3,0
47272682#57869707,1.0,3,0
31877082#82724964,1.0,3,0
9065596#50044587,1.0,3,0
24607772#39759360,1.0,3,0
81004909#85074682,1.0,3,0
26298839#27491747,1.0,3,0
31928950#40659886,1.0,3,0
69524744#80085603,1.0,3,0
40470567#50999488,1.0,3,0
20457621#94391133,1.0,3,0
31051738#39820474,1.0,3,1
2563741#14625144,1.0,3,1
8145012#41160781,1.0,3,0
12832490#73023967,1.0,3,0
68490111#31186504,1.0,3,0
47272682#19610940,1.0,3,0
85107531#82724964,1.0,3,0
60071236#85454976,1.0,3,0
55205314#22017852,1.0,3,0
35031528#5039915,1.0,3,0
16993914#60257213,1.0,3,1
21940746#22206925,1.0,3,1
53799536#54202524,1.0,3,1
37818105#28797891,1.0,3,0
36305406#92356380,1.0,3,0
52787773#24504646,1.0,3,0
64252616#66763358,1.0,3,0
19012125#17216616,1.0,3,0
6817074#2191215,1.0,3,1
47929214#68659568,1.0,3,0
80693528#65761443,1.0,3,0
65411927#40624769,1.0,3,0
98314225#44382672,1.0,3,0
24163225#7138298,1.0,3,0
46900357#44098995,1.0,3,0
3342135#82274481,1.0,3,0
10723708#97485069,1.0,3,0
19012125#37728852,1.0,3,0
57316524#4232352,1.0,3,1
95170662#14133475,1.0,3,0
6217373#9531648,1.0,3,0
27087905#88770421,1.0,3,1
86597447#35149551,1.0,3,0
10373021#2634172,1.0,3,0
905514#8810340,1.0,3,0
12424092#13877575,1.0,3,0
24438834#66481726,1.0,3,0
80747993#98235372,1.0,3,0
63632918#48647262,1.0,3,0
42782136#20547394,1.0,3,0
46963156#16768503,1.0,3,0
51914482#5039915,1.0,3,0
25351062#90146840,1.0,3,0
52499440#79860176,1.0,3,0
77145447#41270447,1.0,3,0
43098472#55164507,1.0,3,0
31493300#88171897,1.0,3,0
20457621#64889535,1.0,3,0
35590306#12958636,1.0,3,1
31420716#18762312,1.0,3,0
