idx,pair_id,gold
0,23442471#4395083,0
1,57698050#86039608,0
2,50968746#43618988,1
3,72636167#74932360,0
4,51215765#22550534,0
5,7650784#55596658,0
6,75908352#45065236,0
7,31420716#13640797,0
8,10816#22096223,0
9,71622657#94373108,0
10,10997532#38058369,0
11,79139250#13893314,0
12,57914917#10218816,1
13,79295#56493397,1
14,23165688#86774262,0
15,82049746#39448463,0
16,77641222#34146043,0
17,72636167#81752586,0
18,63436905#2237025,0
19,74898883#37728852,0
20,71458103#7650784,0
21,35076842#13198672,0
22,17092441#97360314,0
23,36195674#12424092,0
24,94193655#90146840,0
25,87168706#84081996,0
26,18688923#10218816,0
27,888946#9187011,0
28,39376372#74646862,0
29,18178431#63634340,0
30,87240955#69499657,0
31,59217936#92598888,0
32,82274481#88160368,1
33,24607772#77554678,0
34,3038793#28797891,1
35,19669552#22096223,0
36,50403133#18750700,0
37,73197482#31186504,0
38,17954127#41505583,0
39,53540754#88331613,0
40,18762312#16938908,0
41,60950692#79295,0
42,71884441#35317298,1
43,85675854#18762312,1
44,43671477#97281594,0
45,13986277#49146483,0
46,288189#59874069,0
47,13704452#20822871,0
48,12409643#40976538,0
49,80185739#13205686,0
50,28958152#87765870,0
51,13621719#67388462,0
52,808263#22017852,0
53,16768503#8865735,0
54,64438918#20281251,1
55,20550546#59825579,1
56,77554678#905514,0
57,98773883#80747993,0
58,1907#39094258,0
59,59217936#95788693,0
60,19610472#95301262,0
61,13853990#98035591,0
62,19338654#48798939,0
63,93222484#50973979,0
64,14576013#14475568,0
65,80185739#84347869,0
66,2254995#52787773,0
67,93035933#39448463,0
68,31149883#36026562,0
69,26298839#23345904,0
70,64304057#35485275,0
71,76645893#9225217,0
72,38374739#66097781,0
73,12577609#46963156,0
74,2724789#19140046,0
75,24721936#9932421,0
76,13613251#17058930,0
77,76478929#95301262,0
78,70998961#93222484,0
79,58262024#84347869,0
80,27915727#35149551,0
81,10330385#12577609,0
82,71906516#38525199,0
83,81004909#95170662,0
84,55993507#83052078,0
85,26714094#20668617,0
86,22110995#79295,0
87,4395083#59217936,0
88,19210924#63117104,0
89,81254738#6976859,0
90,42244827#91607349,0
91,95241878#7004489,0
92,11297103#97281594,0
93,31420716#82614828,0
94,19653009#44917290,0
95,83052078#18178431,0
96,73018266#2563741,0
97,34088263#57869707,0
98,41270447#54285160,0
99,51914482#81738033,0
100,29226990#13613251,1
101,56291879#59887473,0
102,17738556#74898883,0
103,17216616#63800622,0
104,47272682#57869707,0
105,31877082#82724964,0
106,9065596#50044587,0
107,24607772#39759360,0
108,81004909#85074682,0
109,26298839#27491747,0
110,31928950#40659886,0
111,69524744#80085603,0
112,40470567#50999488,0
113,20457621#94391133,0
114,31051738#39820474,1
115,2563741#14625144,1
116,35653799#9563912,0
117,8145012#41160781,0
118,12832490#73023967,0
119,50100211#51914482,0
120,68490111#31186504,0
121,47272682#19610940,0
122,85107531#82724964,0
123,60071236#85454976,0
124,55205314#22017852,0
125,35031528#5039915,0
126,16993914#60257213,1
127,21940746#22206925,0
128,53799536#54202524,1
129,37818105#28797891,0
130,36305406#92356380,0
131,52787773#24504646,0
132,22096223#29009865,0
133,64252616#66763358,0
134,19012125#17216616,0
135,6817074#2191215,1
136,47929214#68659568,0
137,80693528#65761443,0
138,65411927#40624769,0
139,98314225#44382672,0
140,24163225#7138298,0
141,46900357#44098995,0
142,3342135#82274481,0
143,10723708#97485069,0
144,19012125#37728852,0
145,12577609#3713378,0
146,57316524#4232352,1
147,95170662#14133475,0
148,6217373#9531648,0
149,27087905#88770421,1
150,86597447#35149551,0
151,37931146#90516613,0
152,10373021#2634172,0
153,905514#8810340,0
154,12424092#13877575,0
155,24438834#66481726,0
156,80747993#98235372,0
157,63632918#48647262,0
158,42782136#20547394,0
159,46963156#16768503,0
160,51914482#5039915,0
161,25351062#90146840,0
162,52499440#79860176,0
163,77145447#41270447,0
164,43098472#55164507,0
165,31493300#88171897,0
166,20457621#64889535,0
167,35590306#12958636,0
168,31420716#18762312,0
169,1000748#95788693,0
170,924199#47177790,1
171,50999488#39094258,0
172,36514214#97390436,0
173,35823397#18640012,1
174,36985187#83562709,0
175,25757705#88414713,0
176,17216616#81254738,0
177,26995615#44098995,0
178,88025577#76535406,0
179,17174163#18750700,0
180,19338654#86890239,0
181,66789257#320211,0
182,9187011#93799137,0
183,50100211#50179606,0
184,70600261#70600296,0
185,54728016#72226957,0
186,32021675#96524902,0
187,39944551#4646691,0
188,35317298#90516613,0
189,26820221#39761380,0
190,12409643#13704452,0
191,28502826#61891338,0
192,88760576#75102581,0
193,82209636#66630102,0
194,81004909#8145012,0
195,76343774#4895903,1
196,13389192#68747557,1
197,14276753#75380050,0
198,52462122#56493397,0
199,74618840#43886265,0
200,23165688#37762589,1
201,82274481#79265216,0
202,24721936#92702787,0
203,18218196#89764257,0
204,35807638#90516613,0
205,77488882#29988045,0
206,34088263#24055903,0
207,395201#12285597,0
208,48449418#31928950,0
209,54788213#92348266,0
210,56809562#19085838,0
211,85641193#63926920,0
212,46900357#81296852,0
213,86011983#24163225,0
214,4895903#53397183,0
215,35031528#12409643,0
216,49146483#16874921,0
217,7861704#68689905,0
218,84081996#31587846,0
219,87168706#74898883,0
220,88674931#6969637,0
221,1000748#93754453,0
222,66097781#54519492,0
223,37728852#87636344,0
224,41763354#38669053,0
225,18640012#66552236,0
226,12832490#48457802,1
227,49991167#22110995,0
228,79368706#79860176,0
229,13704452#85012455,0
230,7138298#70600296,0
231,36195674#19820120,1
232,37728852#88171897,1
233,22178282#59825579,0
234,90516613#41505583,0
235,97008126#11344076,0
236,31981847#31572294,0
237,96835518#27491747,0
238,24072080#96601666,0
239,32746933#88797158,0
240,36342541#55641907,0
241,64791875#18750700,0
242,48153881#55899186,0
243,54109462#6601115,0
244,51933885#35653799,1
245,16909124#73060691,0
246,25024300#92612895,0
247,16938908#31420716,0
248,36927878#175833,1
249,12958636#35750776,0
250,66481726#45858702,0
251,49146483#8130501,0
252,14276753#8130501,0
253,35493301#7862454,0
254,77554678#66789257,1
255,10009728#37762589,0
256,59887473#7004489,0
257,52787773#20457621,0
258,97485069#4308600,0
259,26109768#16458906,0
260,69811580#18968441,0
261,20448379#75059939,0
262,83586196#74315994,0
263,75400332#87327065,1
264,42080094#46709252,0
265,42782136#63688174,1
266,93393039#81254738,0
267,5662042#73060691,0
268,40624769#67818648,0
269,48153881#88073129,0
270,61917173#50973979,0
271,89189013#16176339,0
272,70998961#46709252,0
273,39437318#42782136,0
274,29009865#94791347,0
275,68023169#86597447,0
276,86890239#12338419,0
277,64112412#7039861,1
278,93035933#70726318,0
279,80185739#4150044,1
280,10917978#82274481,0
281,5836988#82666001,0
282,55596658#25749336,0
283,28797890#20008769,0
284,5651476#19506949,0
285,74612575#67388462,0
286,63008653#34959942,0
287,25083386#32792490,0
288,88944870#85074682,0
289,37671415#9065596,0
290,84940611#48808155,0
291,17713434#48449418,0
292,63688174#34642657,0
293,24488733#7586139,0
294,6220318#2174287,0
295,98861629#88770421,0
296,84036223#50044587,0
297,94929528#89764257,0
298,30467874#91607349,0
299,52074266#92050862,0
300,55124457#924199,0
301,9531648#22206925,1
302,67240137#95577039,0
303,43644395#69499657,1
304,19210924#80085603,0
305,5662042#48925354,0
306,67991855#12958636,0
307,57729543#88414713,0
308,76275317#55705301,0
309,55607411#2237025,0
310,48153881#57316524,0
311,7650784#72226957,1
312,56744482#7016292,1
313,1705445#88602235,0
314,63688174#22001291,0
315,90516613#21436544,0
316,864070#62254612,0
317,20550546#57107958,0
318,57316524#48449418,0
319,66001502#2163360,0
320,18750700#98314225,0
321,35572402#92702787,0
322,61938323#11413382,0
323,61901186#3038793,0
324,94351044#34487169,0
325,57869707#44145250,0
326,71834414#39544839,0
327,94351044#56774153,0
328,9765844#76999933,0
329,14276753#69903032,0
330,76164350#13514352,1
331,44669031#57574501,0
332,73197482#905514,0
333,93393039#10723708,0
334,25427610#35109084,0
335,69811580#25767244,0
336,40470567#43618988,0
337,64252616#57574501,0
338,70998961#49285911,0
339,426230#40659886,0
340,11344076#92054456,0
341,35076842#62009379,0
342,18510686#47032850,0
343,67388462#40170577,0
344,15279595#57316524,0
345,35417651#36195674,0
346,93393039#88596856,0
347,94596740#84250472,0
348,56774153#60071236,0
349,85012455#35076842,0
350,57106905#48675264,0
351,85065034#76478929,0
352,50968746#88446522,0
353,66441075#62846191,0
354,66914777#66481726,0
355,31493300#74683197,0
356,9716045#11754903,0
357,13613251#41270447,0
358,10501202#96835518,1
359,48310053#76350435,0
360,2107813#12263071,0
361,172054#13613251,0
362,18640012#31061866,0
363,41716837#395201,0
364,50118951#97360314,0
365,54285160#51924648,0
366,90146840#6881030,1
367,78329795#11874069,0
368,60029334#77343216,0
369,66218491#24721936,0
370,19506949#95552183,1
371,34642657#20547394,0
372,88073129#7039861,0
373,757201#76797257,0
374,92349357#57698050,0
375,13613251#8374819,0
376,89098364#75102581,0
377,14576013#79368706,1
378,53447026#65991083,1
379,17216616#14576013,0
380,79139250#17738556,0
381,33541592#1367801,0
382,22110995#56493397,0
383,95170662#92050862,1
384,16566641#89113825,0
385,16874921#33541592,0
386,60257213#33541592,0
387,47240346#96601666,0
388,70600261#51901808,0
389,7987227#20547394,0
390,81738033#9531648,0
391,10330385#10132766,0
392,53579521#67959173,0
393,10816#71191165,0
394,81011691#35493301,0
395,93222484#25895411,0
396,37466646#17713434,0
397,51710206#92598888,0
398,28635594#26995615,0
399,51109166#54285160,0
400,27915727#60380041,0
401,19140046#49285911,1
402,66390507#864070,0
403,51664958#13084603,0
404,18218196#77343216,0
405,47240346#76275317,0
406,36116228#59825579,0
407,91438386#44669031,0
408,53799536#13951675,0
409,85675854#16938908,0
410,8023909#14625144,0
411,68747557#35983151,0
412,51924648#84036223,0
413,98129540#67240137,0
414,31420716#73197482,0
415,54499706#75059939,0
416,98314225#69062083,0
417,11297103#757201,0
418,62305995#10009728,0
419,87136825#395201,1
420,18510686#61917173,0
421,37788391#62009379,0
422,88602235#40771441,0
423,34146043#68675078,0
424,94813013#13514352,0
425,23792229#1367801,0
426,81138609#94373108,0
427,757201#67340922,0
428,97485069#87240955,0
429,80363785#84686125,0
430,7138298#29177746,0
431,87636344#34174042,0
432,94945290#24925549,0
433,87645646#78926104,0
434,36514214#98773883,0
435,4150044#95552183,0
436,94813013#23923095,0
437,15290237#66204747,0
438,65411927#18556332,0
439,48647262#47054569,0
440,81004909#56809562,0
441,95160580#21236035,0
442,15290237#66001502,0
443,82049746#68021989,0
444,19411771#81558327,0
445,777189#89113825,0
446,38774023#60257213,0
447,24066040#89764257,0
448,24504646#62254612,0
449,40624769#395201,0
450,71834414#19085838,0
451,92598888#69062083,0
452,73018266#14625144,0
453,64304057#74172078,1
454,20668617#47662466,0
455,6873873#55596658,0
456,7138298#77488882,0
457,28316497#44098995,1
458,93617759#64889535,1
459,9494941#56744482,0
460,2926780#24488733,0
461,31928950#14133475,0
462,70600261#84081996,0
463,71884441#90886706,0
464,2276717#66481726,0
465,26714094#68490111,0
466,95938196#14133475,0
467,84783221#42076543,0
468,40170577#11754903,0
469,22122748#67959173,0
470,31981847#9765844,0
471,9765844#10373021,0
472,66481726#97473761,0
473,63436905#25096603,0
474,94697384#43644395,0
475,57106905#94609381,0
476,21436544#66390507,1
477,76645893#2237025,0
478,39448463#69249199,0
479,757201#2107813,1
480,67818648#96715844,1
481,36319925#60280975,1
482,59622337#75588119,0
483,15311130#18510686,0
484,51581207#54656829,1
485,15290237#17618186,0
486,61938323#97360314,0
487,97390436#32252152,0
