benchmark,labeler,method,n_pairs,path
abt-buy,gpt-5.2,similarity_search,6000,paper_artifacts/training_data/abt-buy/gpt-5.2/similarity_search/abt-buy_train.json.gz
abt-buy,gpt-5.2,active_learning_ml,6000,paper_artifacts/training_data/abt-buy/gpt-5.2/active_learning_ml/abt-buy_train.json.gz
abt-buy,gpt-5.2,active_learning_ditto,6000,paper_artifacts/training_data/abt-buy/gpt-5.2/active_learning_ditto/abt-buy_train.json.gz
abt-buy,gpt-5.2,active_learning_ditto_relabel,3462,paper_artifacts/training_data/abt-buy/gpt-5.2/active_learning_ditto_relabel/abt-buy_train.json.gz
abt-buy,gpt-5.2,active_learning_ditto_relabel_drop,3338,paper_artifacts/training_data/abt-buy/gpt-5.2/active_learning_ditto_relabel_drop/abt-buy_train.json.gz
abt-buy,gpt-5.2,active_learning_ditto_closure_drop,3347,paper_artifacts/training_data/abt-buy/gpt-5.2/active_learning_ditto_closure_drop/abt-buy_train.json.gz
abt-buy,gpt-5.2,active_learning_ditto_closure_and_relabel,3429,paper_artifacts/training_data/abt-buy/gpt-5.2/active_learning_ditto_closure_and_relabel/abt-buy_train.json.gz
abt-buy,gpt-5.2,active_learning_ditto_closure_or_relabel,3252,paper_artifacts/training_data/abt-buy/gpt-5.2/active_learning_ditto_closure_or_relabel/abt-buy_train.json.gz
abt-buy,qwen-3.6+,active_learning_ditto,6314,paper_artifacts/training_data/abt-buy/qwen-3.6+/active_learning_ditto/abt-buy_train.json.gz
abt-buy,kimi-k2.6,active_learning_ditto,6235,paper_artifacts/training_data/abt-buy/kimi-k2.6/active_learning_ditto/abt-buy_train.json.gz
walmart-amazon,gpt-5.2,similarity_search,6144,paper_artifacts/training_data/walmart-amazon/gpt-5.2/similarity_search/walmart-amazon_train.json.gz
walmart-amazon,gpt-5.2,active_learning_ml,6000,paper_artifacts/training_data/walmart-amazon/gpt-5.2/active_learning_ml/walmart-amazon_train.json.gz
walmart-amazon,gpt-5.2,active_learning_ditto,6117,paper_artifacts/training_data/walmart-amazon/gpt-5.2/active_learning_ditto/walmart-amazon_train.json.gz
walmart-amazon,gpt-5.2,active_learning_ditto_relabel,3455,paper_artifacts/training_data/walmart-amazon/gpt-5.2/active_learning_ditto_relabel/walmart-amazon_train.json.gz
walmart-amazon,gpt-5.2,active_learning_ditto_relabel_drop,3320,paper_artifacts/training_data/walmart-amazon/gpt-5.2/active_learning_ditto_relabel_drop/walmart-amazon_train.json.gz
walmart-amazon,gpt-5.2,active_learning_ditto_closure_drop,3323,paper_artifacts/training_data/walmart-amazon/gpt-5.2/active_learning_ditto_closure_drop/walmart-amazon_train.json.gz
walmart-amazon,gpt-5.2,active_learning_ditto_closure_and_relabel,3427,paper_artifacts/training_data/walmart-amazon/gpt-5.2/active_learning_ditto_closure_and_relabel/walmart-amazon_train.json.gz
walmart-amazon,gpt-5.2,active_learning_ditto_closure_or_relabel,3216,paper_artifacts/training_data/walmart-amazon/gpt-5.2/active_learning_ditto_closure_or_relabel/walmart-amazon_train.json.gz
walmart-amazon,qwen-3.6+,active_learning_ditto,7454,paper_artifacts/training_data/walmart-amazon/qwen-3.6+/active_learning_ditto/walmart-amazon_train.json.gz
walmart-amazon,kimi-k2.6,active_learning_ditto,7330,paper_artifacts/training_data/walmart-amazon/kimi-k2.6/active_learning_ditto/walmart-amazon_train.json.gz
dblp-acm,gpt-5.2,similarity_search,7417,paper_artifacts/training_data/dblp-acm/gpt-5.2/similarity_search/dblp-acm_train.json.gz
dblp-acm,gpt-5.2,active_learning_ml,7417,paper_artifacts/training_data/dblp-acm/gpt-5.2/active_learning_ml/dblp-acm_train.json.gz
dblp-acm,gpt-5.2,active_learning_ditto,7151,paper_artifacts/training_data/dblp-acm/gpt-5.2/active_learning_ditto/dblp-acm_train.json.gz
dblp-acm,gpt-5.2,active_learning_ditto_relabel,6419,paper_artifacts/training_data/dblp-acm/gpt-5.2/active_learning_ditto_relabel/dblp-acm_train.json.gz
dblp-acm,gpt-5.2,active_learning_ditto_relabel_drop,6351,paper_artifacts/training_data/dblp-acm/gpt-5.2/active_learning_ditto_relabel_drop/dblp-acm_train.json.gz
dblp-acm,gpt-5.2,active_learning_ditto_closure_drop,6327,paper_artifacts/training_data/dblp-acm/gpt-5.2/active_learning_ditto_closure_drop/dblp-acm_train.json.gz
dblp-acm,gpt-5.2,active_learning_ditto_closure_and_relabel,6404,paper_artifacts/training_data/dblp-acm/gpt-5.2/active_learning_ditto_closure_and_relabel/dblp-acm_train.json.gz
dblp-acm,gpt-5.2,active_learning_ditto_closure_or_relabel,6274,paper_artifacts/training_data/dblp-acm/gpt-5.2/active_learning_ditto_closure_or_relabel/dblp-acm_train.json.gz
dblp-acm,qwen-3.6+,active_learning_ditto,11482,paper_artifacts/training_data/dblp-acm/qwen-3.6+/active_learning_ditto/dblp-acm_train.json.gz
dblp-acm,kimi-k2.6,active_learning_ditto,11307,paper_artifacts/training_data/dblp-acm/kimi-k2.6/active_learning_ditto/dblp-acm_train.json.gz
dblp-scholar,gpt-5.2,similarity_search,17223,paper_artifacts/training_data/dblp-scholar/gpt-5.2/similarity_search/dblp-scholar_train.json.gz
dblp-scholar,gpt-5.2,active_learning_ml,17223,paper_artifacts/training_data/dblp-scholar/gpt-5.2/active_learning_ml/dblp-scholar_train.json.gz
dblp-scholar,gpt-5.2,active_learning_ditto,17200,paper_artifacts/training_data/dblp-scholar/gpt-5.2/active_learning_ditto/dblp-scholar_train.json.gz
dblp-scholar,gpt-5.2,active_learning_ditto_relabel,13408,paper_artifacts/training_data/dblp-scholar/gpt-5.2/active_learning_ditto_relabel/dblp-scholar_train.json.gz
dblp-scholar,gpt-5.2,active_learning_ditto_relabel_drop,12803,paper_artifacts/training_data/dblp-scholar/gpt-5.2/active_learning_ditto_relabel_drop/dblp-scholar_train.json.gz
dblp-scholar,gpt-5.2,active_learning_ditto_closure_drop,10487,paper_artifacts/training_data/dblp-scholar/gpt-5.2/active_learning_ditto_closure_drop/dblp-scholar_train.json.gz
